School Number,CampusTrim,Campus Name,District Number,District_N,District Name2,Reading On Grade-Level,Math On Grade-Level2
'001902103,1902103,CAYUGA EL,'001902,1902,CAYUGA ISD,0.333333333,0.282051282
'001902001,1902001,CAYUGA H S,'001902,1902,CAYUGA ISD,0.622807018,0.285714286
'001902041,1902041,CAYUGA MIDDLE,'001902,1902,CAYUGA ISD,0.328358209,0.353383459
'001902103,1902103,CAYUGA EL,'001902,1902,CAYUGA ISD,0.333333333,0.282051282
'001902001,1902001,CAYUGA H S,'001902,1902,CAYUGA ISD,0.622807018,0.285714286
'001902041,1902041,CAYUGA MIDDLE,'001902,1902,CAYUGA ISD,0.328358209,0.353383459
'001903101,1903101,ELKHART EL,'001903,1903,ELKHART ISD,0,0
'001903001,1903001,ELKHART H S,'001903,1903,ELKHART ISD,0.522988506,0.227272727
'001903102,1903102,ELKHART INT,'001903,1903,ELKHART ISD,0.31372549,0.338582677
'001903041,1903041,ELKHART MIDDLE,'001903,1903,ELKHART ISD,0.307692308,0.246323529
'001903101,1903101,ELKHART EL,'001903,1903,ELKHART ISD,0,0
'001903001,1903001,ELKHART H S,'001903,1903,ELKHART ISD,0.522988506,0.227272727
'001903102,1903102,ELKHART INT,'001903,1903,ELKHART ISD,0.31372549,0.338582677
'001903041,1903041,ELKHART MIDDLE,'001903,1903,ELKHART ISD,0.307692308,0.246323529
'001904102,1904102,FRANKSTON EL,'001904,1904,FRANKSTON ISD,0.375,0.363636364
'001904001,1904001,FRANKSTON H S,'001904,1904,FRANKSTON ISD,0.587096774,0.236111111
'001904041,1904041,FRANKSTON MIDDLE,'001904,1904,FRANKSTON ISD,0.36196319,0.345454545
'001904102,1904102,FRANKSTON EL,'001904,1904,FRANKSTON ISD,0.375,0.363636364
'001904001,1904001,FRANKSTON H S,'001904,1904,FRANKSTON ISD,0.587096774,0.236111111
'001904041,1904041,FRANKSTON MIDDLE,'001904,1904,FRANKSTON ISD,0.36196319,0.345454545
'001906102,1906102,NECHES EL,'001906,1906,NECHES ISD,0.363636364,0.323232323
'001906002,1906002,NECHES H S,'001906,1906,NECHES ISD,0.418367347,0.318181818
'001906102,1906102,NECHES EL,'001906,1906,NECHES ISD,0.363636364,0.323232323
'001906002,1906002,NECHES H S,'001906,1906,NECHES ISD,0.418367347,0.318181818
'001907101,1907101,NORTHSIDE PRI,'001907,1907,PALESTINE ISD,0,0
'001907001,1907001,PALESTINE H S,'001907,1907,PALESTINE ISD,0.470686767,0.291970803
'001907041,1907041,PALESTINE J H,'001907,1907,PALESTINE ISD,0.304556355,0.321342926
'001907107,1907107,SOUTHSIDE EL,'001907,1907,PALESTINE ISD,0.273170732,0.257281553
'001907110,1907110,STORY INT,'001907,1907,PALESTINE ISD,0.259600614,0.293394777
'001907102,1907102,WASHINGTON EARLY CHILDHOOD CENTER,'001907,1907,PALESTINE ISD,0,0
'001907101,1907101,NORTHSIDE PRI,'001907,1907,PALESTINE ISD,0,0
'001907001,1907001,PALESTINE H S,'001907,1907,PALESTINE ISD,0.470686767,0.291970803
'001907041,1907041,PALESTINE J H,'001907,1907,PALESTINE ISD,0.304556355,0.321342926
'001907107,1907107,SOUTHSIDE EL,'001907,1907,PALESTINE ISD,0.273170732,0.257281553
'001907110,1907110,STORY INT,'001907,1907,PALESTINE ISD,0.259600614,0.293394777
'001907102,1907102,WASHINGTON EARLY CHILDHOOD CENTER,'001907,1907,PALESTINE ISD,0,0
'001908101,1908101,WESTWOOD EL,'001908,1908,WESTWOOD ISD,0.280991736,0.224376731
'001908002,1908002,WESTWOOD H S,'001908,1908,WESTWOOD ISD,0.380434783,0.169354839
'001908041,1908041,WESTWOOD J H,'001908,1908,WESTWOOD ISD,0.21761658,0.139896373
'001908102,1908102,WESTWOOD PRI,'001908,1908,WESTWOOD ISD,0,0
'001908101,1908101,WESTWOOD EL,'001908,1908,WESTWOOD ISD,0.280991736,0.224376731
'001908002,1908002,WESTWOOD H S,'001908,1908,WESTWOOD ISD,0.380434783,0.169354839
'001908041,1908041,WESTWOOD J H,'001908,1908,WESTWOOD ISD,0.21761658,0.139896373
'001908102,1908102,WESTWOOD PRI,'001908,1908,WESTWOOD ISD,0,0
'001909001,1909001,SLOCUM H S,'001909,1909,SLOCUM ISD,0.682926829,0.333333333
'001909101,1909101,SLOCUM PK - 8,'001909,1909,SLOCUM ISD,0.368055556,0.44137931
'001909001,1909001,SLOCUM H S,'001909,1909,SLOCUM ISD,0.682926829,0.333333333
'001909101,1909101,SLOCUM PK - 8,'001909,1909,SLOCUM ISD,0.368055556,0.44137931
