DISTRICT_N,District,Teacher Compensation,Non-Teacher Compensation,Capital Outlay & Debt Service,Other Operating Expenses,Recapture,Total,Enrollment,Check on Total,Per-Pupil
1902,CAYUGA ISD,4301897,3271374,1449372,3249268,0,12271911,589,12271911,20835.16
1903,ELKHART ISD,8083273,3899228,2045905,4114941,0,18143347,1197,18143347,15157.35
1904,FRANKSTON ISD,5840297,3237368,821085,4382864,0,14281614,802,14281614,17807.5
1906,NECHES ISD,2249478,1461140,345361,1723751,0,5779730,326,5779730,17729.23
1907,PALESTINE ISD,22226875,13216136,4124653,14339369,0,53907033,3247,53907033,16602.1
1908,WESTWOOD ISD,7789807,6279385,17618796,6086830,0,37774818,1365,37774818,27673.86
1909,SLOCUM ISD,3086260,1337828,309734,1226357,0,5960179,332,5960179,17952.35
2901,ANDREWS ISD,26192369,17144845,34300224,11224479,22607559,111469476,4269,88861917,20815.63
3902,HUDSON ISD,17247433,9711065,2875393,8993234,0,38827125,2741,38827125,14165.31
3903,LUFKIN ISD,41007580,31488356,15476454,22194263,0,110166653,7046,110166653,15635.35
3904,HUNTINGTON ISD,9867406,6494899,1555099,5811352,0,23728756,1590,23728756,14923.75
3905,DIBOLL ISD,11229290,8033778,1142761,5917876,0,26323705,1627,26323705,16179.29
3906,ZAVALLA ISD,2503298,1156387,300926,1517198,0,5477809,320,5477809,17118.15
3907,CENTRAL ISD,9565688,6043272,744430,6672861,0,23026251,1525,23026251,15099.18
4901,ROCKPORT-FULTON ISD,19877310,11610053,22022051,13520065,4947230,71976709,2968,67029479,22584.06
5901,ARCHER CITY ISD,3741136,2131982,1120763,2046383,0,9040264,501,9040264,18044.44
5902,HOLLIDAY ISD,7481695,3175282,12480346,3190443,0,26327766,1132,26327766,23257.74
5904,WINDTHORST ISD,3537942,1758444,166450,2343212,0,7806048,516,7806048,15128
6902,CLAUDE ISD,2018406,1203733,139975,1631693,0,4993807,319,4993807,15654.57
7901,CHARLOTTE ISD,3481198,2385609,986357,2383271,0,9236435,444,9236435,20802.78
7902,JOURDANTON ISD,10160472,5567924,3714391,5490414,0,24933201,1588,24933201,15701.01
7904,LYTLE ISD,10470480,8066567,2176527,5905426,0,26619000,1821,26619000,14617.79
7905,PLEASANTON ISD,25108680,15307195,7536855,11633760,0,59586490,3364,59586490,17712.99
7906,POTEET ISD,10368046,7899807,4589400,7080667,0,29937920,1842,29937920,16252.94
8901,BELLVILLE ISD,14378992,8335984,10092731,7977655,119807,40905169,2283,40785362,17864.81
8902,SEALY ISD,16302228,8914399,6202887,8531018,0,39950532,3002,39950532,13307.97
8903,BRAZOS ISD,5265017,3356589,2013282,3727823,0,14362711,859,14362711,16720.27
9901,MULESHOE ISD,8488002,4520785,3275323,7304209,0,23588319,1321,23588319,17856.41
10901,MEDINA ISD,2183485,1371817,571884,1175709,0,5302895,239,5302895,22187.85
10902,BANDERA ISD,13215556,8101522,4572403,7307328,0,33196809,2338,33196809,14198.81
11901,BASTROP ISD,74371996,36278950,81402687,43160308,0,235213941,13010,235213941,18079.47
11902,ELGIN ISD,28345469,25235807,105224801,17550394,0,176356471,5715,176356471,30858.53
11904,SMITHVILLE ISD,10321406,6642065,2699062,8388183,0,28050716,1834,28050716,15294.83
11905,MCDADE ISD,2897209,1816571,841528,1689675,0,7244983,360,7244983,20124.95
12901,SEYMOUR ISD,4220832,2653863,1470741,3530532,0,11875968,633,11875968,18761.4
13901,BEEVILLE ISD,18929990,13986831,10130317,12543428,0,55590566,3101,55590566,17926.66
13902,PAWNEE ISD,5051139,3981214,1163642,3365800,32352,13594147,577,13561795,23503.98
13903,PETTUS ISD,3078333,1896298,2222565,2197358,618,9395172,394,9394554,23844.05
13905,SKIDMORE-TYNAN ISD,5588646,3664578,5919314,3689952,0,18862490,794,18862490,23756.28
14901,ACADEMY ISD,10435970,5588288,41450374,5558087,0,63032719,1814,63032719,34747.92
14902,BARTLETT ISD,3484455,2291756,4257188,2332857,0,12366256,439,12366256,28169.15
14903,BELTON ISD,81822707,54548319,120395794,38299903,0,295066723,13808,295066723,21369.26
14905,HOLLAND ISD,5130610,3730536,754509,2750150,0,12365805,638,12365805,19382.14
14906,KILLEEN ISD,268355381,169505617,67199974,163935134,0,668996106,43864,668996106,15251.6
14907,ROGERS ISD,5854490,3422443,1954942,2695080,0,13926955,875,13926955,15916.52
14908,SALADO ISD,11820758,6735400,15819148,6447144,0,40822450,2346,40822450,17400.87
14909,TEMPLE ISD,55602041,31807238,69159378,26600380,0,183169037,8784,183169037,20852.58
14910,TROY ISD,9875611,4826494,2176990,5289599,0,22168694,1706,22168694,12994.55
15901,ALAMO HEIGHTS ISD,33742697,15582330,34855150,12776185,22143951,119100313,4698,96956362,20637.8
15904,HARLANDALE ISD,76487384,51341484,29732248,35975554,0,193536670,11814,193536670,16381.98
15905,EDGEWOOD ISD (Bexar),52248732,44578352,12395171,37779814,0,147002069,7930,147002069,18537.46
15906,RANDOLPH FIELD ISD,10609343,7029552,1079564,5140805,0,23859264,1494,23859264,15970.06
15907,SAN ANTONIO ISD,297361548,257443785,279157149,169322881,0,1003285363,44670,1003285363,22459.94
15908,SOUTH SAN ANTONIO ISD,46897032,36997556,18447316,23526118,0,125868022,7429,125868022,16942.79
15909,SOMERSET ISD,24317423,20118314,6008109,19659763,0,70103609,4252,70103609,16487.21
15910,NORTH EAST ISD,377170649,203349096,218649047,133394152,0,932562944,57374,932562944,16254.1
15911,EAST CENTRAL ISD,63002872,38055693,71155007,33842296,0,206055868,11176,206055868,18437.35
15912,SOUTHWEST ISD,93906980,63224201,50527721,42773277,0,250432179,14202,250432179,17633.59
15913,LACKLAND ISD,9595299,5973339,3345274,4167858,0,23081770,1035,23081770,22301.23
15914,FT SAM HOUSTON ISD,14908596,9811104,1736228,9186901,0,35642829,1611,35642829,22124.66
15915,NORTHSIDE ISD (Bexar),693219338,367436430,526392061,219233269,0,1806281098,101095,1806281098,17867.17
15916,JUDSON ISD,170196419,90386778,126969423,80904816,0,468457436,23848,468457436,19643.47
15917,SOUTHSIDE ISD,38475873,28944365,8168473,18277719,0,93866430,6033,93866430,15558.83
16901,JOHNSON CITY ISD,5028230,3446321,13972174,2802814,1971927,27221466,718,25249539,35166.49
16902,BLANCO ISD,6765378,4949869,21823353,4723659,538067,38800326,1105,38262259,34626.48
17901,BORDEN COUNTY ISD,2585586,2335079,8561551,2616108,3615481,19713805,242,16098324,66522
18901,CLIFTON ISD,7428042,3762354,1862595,3186973,0,16239964,1025,16239964,15843.87
18902,MERIDIAN ISD,3030801,1894832,1752467,3109057,0,9787157,344,9787157,28451.04
18903,MORGAN ISD,1111030,660953,97834,913314,0,2783131,148,2783131,18804.94
18904,VALLEY MILLS ISD,3876655,2377920,1659429,3622888,0,11536892,681,11536892,16941.1
18905,WALNUT SPRINGS ISD,1437900,717516,30925,1453694,0,3640035,174,3640035,20919.74
