FID,Shape *,FID_1,SDLEA10,NAME,NAME2,DISTRICT_N,Debt,Per-Pupil Debt
0,Polygon,1,40710,Socorro ISD,Socorro,71909,1114201052,27326
1,Polygon,2,13920,Chilton ISD,Chilton,73901,23236392,46288
2,Polygon,3,11250,Bremond ISD,Bremond,198901,6216988,13034
3,Polygon,4,30180,Memphis ISD,Memphis,96904,0,0
4,Polygon,5,34380,Patton Springs ISD,Patton Springs,63906,0,0
5,Polygon,6,2,Spur ISD,Spur,63903,1127875,8233
6,Polygon,7,40080,Sherman ISD,Sherman,91906,710033635,99472
7,Polygon,8,38400,S and S CISD,S and S Cons,91914,36492418,41897
8,Polygon,9,35580,Pottsboro ISD,Pottsboro,91913,106835022,87284
9,Polygon,10,44730,Waxahachie ISD,Waxahachie,70912,1028566675,96834
10,Polygon,11,36660,Red Oak ISD,Red Oak,70911,235075325,37793
11,Polygon,12,34110,Palmer ISD,Palmer,70910,20278525,15551
12,Polygon,13,30600,Midlothian ISD,Midlothian,70908,527707894,49499
13,Polygon,14,18540,Ennis ISD,Ennis,70903,227867000,35632
14,Polygon,15,16710,Denison ISD,Denison,91903,314915816,67304
15,Polygon,16,9780,Bells ISD,Bells,91901,68908585,68091
16,Polygon,17,45630,Whitesboro ISD,Whitesboro,91909,666030,379
17,Polygon,18,14580,Collinsville ISD,Collinsville,91902,39048693,60918
18,Polygon,19,18750,Evadale ISD,Evadale,121906,43060411,115135
19,Polygon,20,12090,Buna ISD,Buna,121903,19294679,15387
20,Polygon,21,39300,Santa Gertrudis ISD,Santa Gertrudis,137904,0,0
21,Polygon,22,37320,Riviera ISD,Riviera,137903,0,0
22,Polygon,23,36930,Ricardo ISD,Ricardo,137902,548205,867
23,Polygon,24,25680,Kingsville ISD,Kingsville,137901,66017322,32314
24,Polygon,25,8490,Apple Springs ISD,Apple Springs,228905,0,0
25,Polygon,26,43200,Trinity ISD,Trinity,228903,21618669,18914
26,Polygon,27,25470,Kennard ISD,Kennard,113906,0,0
27,Polygon,28,33840,Ore City ISD,Ore City,230903,9336898,13169
28,Polygon,29,24730,Jefferson ISD,Jefferson,155901,4483575,4976
29,Polygon,30,9090,Avinger ISD,Avinger,34902,0,0
30,Polygon,31,34550,Pecos-Barstow-Toyah ISD,Pecos-Barstow-Toyah,195901,556263200,205947
31,Polygon,32,9330,Balmorhea ISD,Balmorhea,195902,105084285,633038
32,Polygon,33,42420,Terrell County ISD,Terrell County,222901,7057957,83035
33,Polygon,34,17100,Dilley ISD,Dilley,82902,29636997,44103
34,Polygon,35,41250,Springlake-Earth ISD,Springlake-Earth,140907,0,0
35,Polygon,36,35490,Post ISD,Post,85902,39793150,81711
36,Polygon,37,42090,Tahoka ISD,Tahoka,153904,14258398,28574
37,Polygon,38,33390,O'Donnell ISD,O'Donnell,153903,12493591,62157
38,Polygon,39,16350,Dawson ISD (Dawson),Dawson (Dawson),58902,0,0
39,Polygon,40,40290,Silverton ISD,Silverton,23902,5693575,28047
40,Polygon,41,32220,Nazareth ISD,Nazareth,35903,115250,539
41,Polygon,42,22650,Hart ISD,Hart,35902,1603053,8665
42,Polygon,43,17160,Dimmitt ISD,Dimmitt,35901,38992758,42849
43,Polygon,44,41400,Stamford ISD,Stamford,127906,8636060,18105
44,Polygon,45,33960,Paint Creek ISD,Paint Creek,104907,7706460,79448
45,Polygon,46,30340,Merkel ISD,Merkel,221904,9754834,9784
46,Polygon,47,8400,Anson ISD,Anson,127901,3714200,6539
47,Polygon,48,43110,Trent ISD,Trent,221905,2565723,17336
48,Polygon,49,37470,Roby CISD,Roby Cons,76903,10472000,43273
49,Polygon,50,22260,HAMLIN COLLEGIATE ISD,Hamlin,127903,0,0
50,Polygon,51,9750,Bellevue ISD,Bellevue,39904,5328118,26774
51,Polygon,52,20970,Gold Burg ISD,Gold-Burg,169906,0,0
52,Polygon,53,33270,Nursery ISD,Nursery,235904,1805600,16565
53,Polygon,54,44150,Victoria ISD,Victoria,235902,128852075,12150
54,Polygon,55,24150,Industrial ISD,Industrial,120905,15232750,14689
55,Polygon,56,10500,Bloomington ISD,Bloomington,235901,9013664,12749
56,Polygon,57,43950,Van Vleck ISD,Van Vleck,158906,86718327,105625
57,Polygon,58,42810,Tidehaven ISD,Tidehaven,158902,43400309,46567
58,Polygon,59,29370,Matagorda ISD,Matagorda,158904,4190431,28506
59,Polygon,60,9630,Bay City ISD,Bay City,158901,177568853,61231
60,Polygon,61,34020,Palacios ISD,Palacios,158905,170774178,160351
61,Polygon,62,33570,Olfen ISD,Olfen,200906,506600,3989
62,Polygon,63,46260,Winters ISD,Winters,200904,2484043,6073
63,Polygon,64,30750,Miles ISD,Miles,200902,8973488,20917
64,Polygon,65,9300,Ballinger ISD,Ballinger,200901,0,0
65,Polygon,66,7,Panther Creek CISD,Panther Creek Cons,42905,498300,3215
66,Polygon,67,11490,Bronte ISD,Bronte,41901,0,0
67,Polygon,68,34230,Panhandle ISD,Panhandle,33902,8590400,20901
68,Polygon,69,39150,Sanford-Fritch ISD,Sanford-Fritch,117903,8431181,11287
69,Polygon,70,42210,Tarkington ISD,Tarkington,146907,6727485,3717
70,Polygon,71,19350,Floresville ISD,Floresville,247901,56499919,15111
71,Polygon,72,26610,Lamesa ISD,Lamesa,58906,29926750,25149
72,Polygon,73,25790,Klondike ISD,Klondike,58905,5785900,26420
73,Polygon,74,35730,Prairie Valley ISD,Prairie Valley,169909,0,0
74,Polygon,75,32790,Nocona ISD,Nocona,169902,33725635,57065
75,Polygon,76,31200,Montague ISD,Montague,169908,0,0
76,Polygon,77,38520,Saint Jo ISD,Saint Jo,169911,7978291,31165
77,Polygon,78,36510,Rankin ISD,Rankin,231902,94831226,361951
