District_N,FTE Athletic Director,Average AD Pay,FTE Superintendent,Average Superintendent Pay,FTE Teaching Staff,Average Teacher Pay
100903,0.11,89264,1,164010,92.15,53000
100904,0.4,106561,1,186775,192.78,53786
100905,1,99031,1,190195,189.89,56522
100907,0.42,93998,1.39,252733,268.4,52949
100908,.,.,1,125000,44.65,126022
101802,.,.,0.87,166048,69.61,69482
101803,1,78796,0.35,240861,103.64,58613
101804,.,.,1,151975,55.66,60689
101806,.,.,1,312090,119.1,63308
101810,.,.,1,195500,43.39,59270
101811,.,.,1,1,32.93,65891
101814,.,.,1,165000,68.29,62471
101815,.,.,0.5,132000,18.69,61601
101819,.,.,1,161790,44,63843
101821,.,.,0.22,83767,17.21,54596
101828,.,.,1,72800,101.01,60594
101837,.,.,0.25,134496,18.03,69537
101838,.,.,1,243000,18.12,99508
101840,.,.,1,100000,23.64,54659
101842,.,.,0.17,184943,2.45,52866
101845,13.77,70963,1,359560,1217.53,64041
101846,.,.,1,132020,247.15,61469
101847,.,.,1,165000,35.73,59369
101849,.,.,0.5,287558,10.07,66013
101853,.,.,0.93,171951,101.58,52579
101855,.,.,0.5,126400,20.67,59846
101856,.,.,0.99,106136,23.68,80059
101858,.,.,1,118100,462.43,61333
101859,.,.,0.33,176868,46.91,66838
101861,.,.,1,152914,36.96,62207
101862,.,.,1,236025,398.92,61068
101864,.,.,1,91854,12.16,56358
101868,.,.,1,193500,17.15,65143
101870,.,.,1,187000,68.8,55373
101871,.,.,1,183226,9.07,74835
101872,.,.,1,166500,59.2,65288
101873,.,.,1,110000,21.99,60912
101874,.,.,1,130400,25.01,65308
101875,.,.,0.61,267388,14.16,70284
101876,.,.,1,122400,0.82,50816
101877,.,.,1,133600,9,57341
101878,.,.,1,180000,17.32,69600
101881,.,.,1,143000,6,60000
101902,2.5,128606,1,352821,3916.12,68384
101903,1,139999,1,314150,2841.69,63822
101905,.,.,1,274431,598.45,70485
101906,1,138576,1,231767,400.06,73410
101907,1,156045,1,458908,7664.08,68146
101908,1,130289,1,290000,858.47,70227
101910,1,170914,1,335000,1393.97,68790
